;Name;Location;Year;Kilometers_Driven;Fuel_Type;Transmission;Owner_Type;Mileage;Engine;Power;Seats;New_Price;Price
80;Maruti Swift VDI;Jaipur;2012;95100;Diesel;Manual;First;22,9;1248;74;5;;3750
81;Tata Zest Revotron 1.2T XE;Pune;2017;70000;Petrol;Manual;First;17,57;1193;88,7;5;6,67;4500
82;Honda Amaze SX i-VTEC;Kochi;2016;54944;Petrol;Manual;First;18;1198;86,7;5;;4820
83;Ford Figo Diesel ZXI;Hyderabad;2012;70337;Diesel;Manual;First;20;1399;68;5;;2800
84;Maruti Ritz VDi;Jaipur;2013;99638;Diesel;Manual;First;23,2;1248;73,94;5;;3110
85;Honda City i VTEC E;Delhi;2009;52000;Petrol;Manual;First;17,8;1497;117,3;5;;3250
86;BMW 5 Series 2003-2012 525d;Delhi;2011;75000;Diesel;Automatic;Second;16,73;1995;218;5;;13900
87;Hyundai i10 Sportz 1.2;Pune;2009;95980;Petrol;Manual;First;20,36;1197;78,9;5;;2250
88;Hyundai Grand i10 Sportz;Bangalore;2016;16000;Petrol;Manual;First;18,9;1197;82;5;;5750
89;Hyundai Santro Xing XO;Hyderabad;2007;73745;Petrol;Manual;First;17;1086;null ;5;;2100
90;Honda Amaze SX i-VTEC;Mumbai;2016;18949;Petrol;Manual;First;17,8;1198;86,7;5;;5000
91;Toyota Fortuner 4x2 Manual;Delhi;2014;107000;Diesel;Manual;First;13;2982;168,5;7;;16500
92;Audi A6 2011-2015 35 TDI Premium;Coimbatore;2018;48367;Diesel;Automatic;First;17,68;1968;174,33;5;;39580
93;Ford Ecosport 1.5 DV5 MT Titanium Optional;Delhi;2013;57000;Diesel;Manual;First;22,7;1498;89,84;5;;5500
94;Mahindra XUV500 W8 2WD;Delhi;2014;58000;Diesel;Manual;First;15,1;2179;140;7;;8100
95;Honda Amaze SX i-DTEC;Kolkata;2015;30000;Diesel;Manual;First;25,8;1498;98,6;5;;3500
96;Volkswagen Polo Diesel Highline 1.2L;Kolkata;2013;34212;Diesel;Manual;First;22,07;1199;73,9;5;;2790
97;Hyundai Verna Transform SX VGT CRDi;Ahmedabad;2010;70002;Diesel;Manual;First;16,2;1493;110;5;;3450
98;Maruti Wagon R VXI BS IV;Bangalore;2016;62000;Petrol;Manual;First;18,9;998;67,1;5;;4450
99;Volkswagen Polo Petrol Highline 1.6L;Delhi;2010;62001;Petrol;Manual;First;15,26;1598;103,5;5;;2650
100;Hyundai i20 1.4 CRDi Sportz;Pune;2011;78958;Diesel;Manual;Second;23;1396;90;5;;3800
101;Hyundai i20 Asta 1.2;Mumbai;2014;30180;Petrol;Manual;First;18,5;1197;82,85;5;;4650
102;Datsun GO Plus T Petrol;Pune;2017;32851;Petrol;Manual;First;19,83;1198;67;7;6,45;3950
103;Audi A4 3.0 TDI Quattro Premium;Kolkata;2010;30000;Diesel;Automatic;First;14,94;2967;241,4;5;;9800
104;Hyundai i20 2015-2017 Asta;Pune;2009;66000;Petrol;Manual;Second;17;1197;80;5;;2700
105;Maruti Omni 5 Str STD;Coimbatore;2010;93850;Petrol;Manual;First;14;796;35;5;;2410
106;Toyota Etios Liva 1.2 G;Ahmedabad;2014;53000;Petrol;Manual;First;17,71;1197;78,9;5;6,41;3900
107;Jaguar XF 3.0 Litre S Premium Luxury;Hyderabad;2011;78000;Diesel;Automatic;Second;14,74;2993;270,9;5;;24000
108;Mahindra XUV500 W8 2WD;Delhi;2012;65000;Diesel;Manual;Second;16;2179;140;7;;5750
109;Hyundai Verna 1.6 SX CRDI (O) AT;Kolkata;2014;40000;Diesel;Automatic;First;22,32;1582;126,32;5;;5250
110;Toyota Innova Crysta 2.8 ZX AT;Mumbai;2017;30000;Diesel;Automatic;First;11,36;2755;171,5;7;27;19250
111;Maruti Eeco 5 Seater AC;Coimbatore;2017;38053;Petrol;Manual;First;15,1;1196;73;5;5,13;3910
112;Tata Nano Twist XT;Bangalore;2014;25500;Petrol;Manual;First;25,4;624;37,5;4;;2150
113;BMW 3 Series 320d Luxury Line;Mumbai;2015;56087;Diesel;Automatic;First;22,69;1995;190;5;54,43;20750
114;Honda Civic 2006-2010 1.8 V MT;Delhi;2010;71088;Petrol;Manual;First;13,5;1799;130;5;;3350
115;Toyota Innova 2.5 VX (Diesel) 7 Seater;Ahmedabad;2014;55000;Diesel;Manual;First;12,99;2494;100,6;7;;11110
116;Volvo V40 Cross Country D3;Bangalore;2014;32700;Diesel;Automatic;First;23,3;1984;150;5;;20000
117;Nissan Micra XV CVT;Coimbatore;2016;39882;Petrol;Automatic;First;19,15;1198;75,94;5;9,51;6550
118;BMW 5 Series 2010-2013 525i;Mumbai;2009;128000;Petrol;Automatic;First;10,8;2497;215;5;;7000
119;Maruti Vitara Brezza VDi;Mumbai;2016;55000;Diesel;Manual;First;24,3;1248;88,5;5;9,96;7500
120;Hyundai Santro Xing XL eRLX Euro III;Mumbai;2005;102000;Petrol;Manual;Second;17;1086;null ;5;;850
121;Mercedes-Benz B Class B200 CDI;Pune;2014;53753;Diesel;Automatic;Second;15;2143;107,3;5;;16750
122;Hyundai Verna CRDi 1.6 SX Option;Kolkata;2018;10250;Diesel;Manual;First;22;1582;126,2;5;14,44;10950
123;Maruti Wagon R LXI BS IV;Pune;2011;43874;Petrol;Manual;First;18,9;998;67,1;5;;2450
124;Tata Nano XTA;Coimbatore;2017;32684;Petrol;Automatic;First;21,9;624;37,48;4;;3230
125;Mahindra Scorpio VLX;Kolkata;2014;42000;Diesel;Manual;First;12,05;2179;120;8;;7750
126;Mercedes-Benz New C-Class 200 K AT;Kolkata;2009;28352;Petrol;Automatic;First;11,7;1796;178;5;;9350
127;Maruti Wagon R LXI CNG;Pune;2013;89900;CNG;Manual;First;26,6;998;58,16;5;;3250
128;Honda CR-V 2.4 MT;Bangalore;2007;47700;Petrol;Manual;Second;10,8;2354;152;5;;5250
129;Volkswagen Vento 1.5 TDI Comfortline AT;Pune;2015;55000;Diesel;Automatic;First;21,21;1498;103,2;5;;7250
130;Maruti Ciaz VXi Plus;Kochi;2017;44285;Petrol;Manual;First;20,73;1373;91,1;5;;7470
131;Mahindra XUV500 AT W10 FWD;Jaipur;2016;54000;Diesel;Automatic;First;16;2179;140;7;;13250
132;Maruti Ritz VXI ABS;Coimbatore;2016;30232;Petrol;Manual;First;21,1;1197;85,8;5;;5810
133;Maruti Alto K10 VXI;Hyderabad;2014;88500;Petrol;Manual;First;24,07;998;67,1;5;4,53;2600
134;Mercedes-Benz SLC 43 AMG;Kolkata;2017;13372;Petrol;Automatic;First;19;2996;362,07;2;95,04;54000
135;Hyundai Verna VTVT 1.6 AT SX Plus;Kochi;2019;12645;Petrol;Automatic;First;17;1591;121,3;5;13,49;11500
136;Maruti Alto LXi BSIII;Chennai;2010;94385;Petrol;Manual;Second;19,7;796;46,3;5;;1600
137;BMW 1 Series 118d Base;Coimbatore;2015;31821;Diesel;Automatic;First;20,58;1995;143;5;;17220
138;Honda Jazz 1.2 V CVT i VTEC;Mumbai;2015;12000;Petrol;Automatic;First;19;1199;88,7;5;;6000
139;Honda Civic 2006-2010 1.8 V MT;Delhi;2012;88578;Petrol;Manual;First;13,5;1799;130;5;;3950
140;Mercedes-Benz New C-Class C 220 CDI Avantgarde;Kochi;2014;44965;Diesel;Automatic;First;19,27;2143;170;5;;17950
141;Honda Amaze SX i-DTEC;Kolkata;2014;45044;Diesel;Manual;First;25,8;1498;98,6;5;;3700
142;Maruti Swift VVT VXI;Kochi;2016;34204;Petrol;Manual;First;22;1197;81,8;5;;5430
143;Hyundai Santro Xing XO eRLX Euro II;Kochi;2008;80759;Petrol;Manual;Third;17;1086;null ;5;;1670
144;Toyota Fortuner 3.0 Diesel;Coimbatore;2012;91235;Diesel;Manual;First;11,5;2982;171;7;;13490
145;Chevrolet Beat LT Option;Pune;2014;38800;Petrol;Manual;First;18,6;1199;76,8;5;;2850
146;Skoda Rapid 1.5 TDI Elegance;Chennai;2013;83000;Diesel;Manual;First;21,14;1498;103,52;5;;4750
147;Maruti Ciaz 1.4 Alpha;Kochi;2018;41283;Petrol;Manual;First;20,73;1373;91,1;5;;9900
148;Audi RS5 Coupe;Mumbai;2013;23000;Petrol;Automatic;First;11,05;2894;444;4;1,28 Cr;37000
149;BMW 3 Series Luxury Line;Mumbai;2014;48000;Diesel;Automatic;First;21,76;1995;190;5;60,88;26500
150;Audi A4 2.0 TDI 177  Premium Plus;Coimbatore;2015;48214;Diesel;Automatic;First;17,11;1968;174,33;5;;23320
151;Maruti Swift VDI;Chennai;2016;35000;Diesel;Manual;First;22,9;1248;74;5;;6250
152;Mercedes-Benz S Class 2005 2013 S 500;Kolkata;2010;35277;Petrol;Automatic;First;7,81;5461;362,9;5;;30000
153;Skoda Rapid 1.5 TDI AT Elegance Plus Black Package;Coimbatore;2016;54620;Diesel;Automatic;First;21,66;1498;103,52;5;;9860
154;Skoda Superb Elegance 2.0 TDI CR AT;Pune;2012;136997;Diesel;Automatic;First;17,2;1968;138,1;5;;8500
155;Hyundai EON Magna Plus;Kochi;2019;14322;Petrol;Manual;First;21,1;814;55,2;5;;4230
156;Volkswagen Polo Diesel Trendline 1.2L;Jaipur;2012;65634;Diesel;Manual;First;22,07;1199;73,9;5;;3500
157;Datsun GO NXT;Kolkata;2016;6000;Petrol;Manual;First;20,63;1198;67,06;5;;2500
158;Honda Brio S MT;Kolkata;2013;33280;Petrol;Manual;First;19,4;1198;86,8;5;;2390
159;Mercedes-Benz B Class B180;Delhi;2013;29000;Petrol;Automatic;First;14,8;1595;120,7;5;;11250
160;Honda City i DTEC V;Kochi;2015;42831;Diesel;Manual;First;26;1498;98,6;5;;7110
161;Toyota Innova 2.5 G (Diesel) 7 Seater;Ahmedabad;2016;90000;Diesel;Manual;First;12,99;2494;100,6;7;;10900
162;Maruti Swift VXI Optional;Ahmedabad;2017;24005;Petrol;Manual;First;20,4;1197;81,8;5;;6200
163;Mahindra XUV500 W8 2WD;Mumbai;2012;32792;Diesel;Manual;First;15,1;2179;140;7;;7900
164;Ford Ecosport 1.5 DV5 MT Ambiente;Kochi;2014;147898;Diesel;Manual;First;22,7;1498;89,84;5;;4420
165;Toyota Fortuner 4x2 Manual;Mumbai;2012;131765;Diesel;Manual;First;13;2982;168,5;7;;13500
166;Volkswagen Vento 1.5 Highline Plus AT 16 Alloy;Chennai;2013;65000;Diesel;Automatic;First;21,5;1498;108,5;5;;6250
167;Ford Figo Diesel Titanium;Jaipur;2010;66123;Diesel;Manual;Second;20;1399;68;5;;2100
168;BMW X5 xDrive 30d;Mumbai;2015;41000;Diesel;Automatic;First;15,3;2993;258;5;;45000
169;Mercedes-Benz New C-Class C 220 CDI Style;Coimbatore;2017;23550;Diesel;Automatic;First;19,27;2143;167,62;5;;33660
170;Honda Brio V MT;Bangalore;2012;45000;Petrol;Manual;Second;19,4;1198;86,8;5;;3650
171;Hyundai i10 Magna 1.2;Delhi;2013;60000;Petrol;Manual;First;20,36;1197;78,9;5;;2750
172;Mercedes-Benz GLC 220;Bangalore;2016;44414;Diesel;Automatic;First;17,9;2143;170;5;;42500
173;Hyundai Grand i10 1.2 Kappa Asta;Kolkata;2019;1000;Petrol;Manual;First;18,9;1197;81,86;5;7,39;6500
174;Audi A6 2011-2015 2.0 TDI Premium Plus;Mumbai;2012;62500;Diesel;Automatic;Second;17,68;1968;174,33;5;;19000
175;Volkswagen Vento Petrol Highline AT;Mumbai;2013;21000;Petrol;Automatic;Second;14,4;1598;103,6;5;;4450
176;Mini Countryman Cooper D;Jaipur;2017;8525;Diesel;Automatic;Second;16,6;1998;112;5;;23000
177;Hyundai i20 Asta 1.4 CRDi;Bangalore;2014;29000;Diesel;Manual;First;22,54;1396;88,73;5;;8350
178;Audi A6 2011-2015 2.0 TDI Premium Plus;Mumbai;2014;40000;Diesel;Automatic;First;17,68;1968;174,33;5;;22950
179;Chevrolet Beat Diesel LT;Jaipur;2012;88000;Diesel;Manual;First;25,44;936;57,6;5;;1500
180;Skoda Superb Elegance 1.8 TSI AT;Kochi;2012;53537;Petrol;Automatic;First;13,7;1798;157,75;5;;6890
181;Ford Fiesta 1.4 TDCi EXI Limited Edition;Chennai;2006;216000;Diesel;Manual;Second;17,8;1399;68;5;;1450
182;BMW 5 Series 520d Luxury Line;Hyderabad;2014;51000;Diesel;Automatic;First;22,48;1995;190;5;69,47;33500
183;Chevrolet Optra Magnum 1.6 LS BS3;Jaipur;2007;118500;Petrol;Manual;First;12,9;1598;102,5;5;;1250
184;Volkswagen Polo Diesel Highline 1.2L;Hyderabad;2012;63000;Diesel;Manual;First;22,07;1199;73,9;5;;4200
185;Renault Lodgy 110PS RxZ 8 Seater;Mumbai;2015;25000;Diesel;Manual;First;19,98;1461;108,5;8;;6750
186;Mercedes-Benz E-Class E250 CDI Avantgrade;Bangalore;2014;37382;Diesel;Automatic;First;13;2143;201,1;5;;32000
187;Maruti Baleno Alpha;Kochi;2017;24773;Petrol;Manual;First;21,4;1197;83,1;5;8,78;7500
188;Hyundai Verna 1.6 SX;Delhi;2012;62000;Diesel;Manual;First;22,32;1582;126,32;5;;4600
189;Hyundai i10 Magna 1.1;Kochi;2017;52340;Petrol;Manual;First;19,81;1086;68,05;5;;4040
190;Mahindra Scorpio 1.99 S10 4WD;Kochi;2016;56739;Diesel;Manual;First;15,4;1997;120;7;;10310
191;Land Rover Range Rover 2.2L Dynamic;Coimbatore;2018;36091;Diesel;Automatic;First;12,7;2179;187,7;5;;55760
192;Ford Figo Diesel ZXI;Chennai;2010;120000;Diesel;Manual;First;20;1399;68;5;;2600
193;Maruti Ertiga ZDI;Mumbai;2016;33000;Diesel;Manual;First;25,47;1248;88,5;7;12,74;8500
194;Honda City 1.5 GXI;Ahmedabad;2007;60006;Petrol;Manual;First;0;;;;;2950
195;Honda Amaze S i-Dtech;Kolkata;2014;52000;Diesel;Manual;First;25,8;1498;98,6;5;;3500
196;Hyundai i10 Magna;Jaipur;2015;43571;Petrol;Manual;First;20,36;1197;78,9;5;;3550
197;Honda Amaze S i-Dtech;Kolkata;2013;50000;Diesel;Manual;First;25,8;1498;98,6;5;;3250
198;Skoda Laura Ambiente;Hyderabad;2008;113000;Diesel;Manual;First;17,5;1896;106;5;;4500
199;Renault Duster 85PS Diesel RxL;Delhi;2014;90000;Diesel;Manual;First;19,87;1461;83,8;5;;5350
200;Mahindra NuvoSport N6;Chennai;2017;29000;Diesel;Manual;Second;17,45;1493;100;7;10,52;6500
201;Maruti Vitara Brezza ZDi Plus Dual Tone;Mumbai;2016;20000;Diesel;Manual;First;24,3;1248;88,5;5;11,98;9000
202;Hyundai i20 Asta Option 1.2;Kochi;2016;61012;Petrol;Manual;First;18,6;1197;81,83;5;;6000
203;Skoda Fabia 1.4 MPI Ambiente;Jaipur;2009;87459;Petrol;Manual;First;14,7;1390;85;5;;2750
204;Tata Indigo eCS GLX;Pune;2010;70500;Petrol;Manual;First;15,64;1193;64,1;5;;1500
205;Audi Q3 2012-2015 35 TDI Quattro Premium Plus;Delhi;2015;64103;Diesel;Automatic;First;15,73;1968;174,33;5;;19900
206;Skoda Octavia Elegance 1.8 TSI AT;Mumbai;2014;76000;Petrol;Automatic;First;14,7;1798;177,5;5;;10000
207;Toyota Etios Liva GD SP;Delhi;2014;104000;Diesel;Manual;First;23,59;1364;67,06;5;;3000
208;Maruti Swift 1.3 VXi;Kolkata;2010;42001;Petrol;Manual;First;16,1;;;;;2110
209;Mercedes-Benz B Class B180;Kochi;2014;37245;Petrol;Automatic;First;14,8;1595;120,7;5;;11960
210;Honda Amaze S Diesel;Kolkata;2013;45000;Diesel;Manual;First;27,4;1498;98,6;5;8,54;3250
211;Hyundai Verna 1.6 SX;Jaipur;2012;117837;Diesel;Manual;Second;22,32;1582;126,32;5;;4750
212;Renault Duster 85PS Diesel RxL Optional;Mumbai;2014;30000;Diesel;Manual;First;20,46;1461;83,8;5;;5950
213;Hyundai Creta 1.6 VTVT S;Delhi;2015;27057;Petrol;Manual;Second;15,29;1591;121,3;5;;8150
214;Maruti Wagon R AMT VXI;Mumbai;2016;8500;Petrol;Automatic;First;20,51;998;67;5;;4220
215;Mercedes-Benz New C-Class C250 Avantgarde;Kolkata;2010;30500;Petrol;Automatic;First;11,74;1796;186;5;;10500
216;Audi A8 L 3.0 TDI quattro;Delhi;2012;56000;Diesel;Automatic;First;11,8;2967;246,7;5;;45000
217;Hyundai i10 Magna 1.1;Pune;2012;44000;Petrol;Manual;Second;19,81;1086;68,05;5;;2900
218;Skoda Rapid 1.6 MPI AT Style Black Package;Mumbai;2017;10500;Petrol;Automatic;First;14,3;1598;103,52;5;;8900
219;Skoda Superb Style 1.8 TSI AT;Hyderabad;2017;26000;Petrol;Automatic;First;14,67;1798;177,46;5;33,58;26000
220;Hyundai i20 Active 1.2 SX;Coimbatore;2018;25166;Petrol;Manual;First;17,19;1197;81,86;5;;8220
221;Honda Amaze VX i-DTEC;Kolkata;2014;64000;Diesel;Manual;Second;25,8;1498;98,6;5;;3500
222;Maruti Wagon R LXI;Chennai;2004;61000;Petrol;Manual;Second;18,9;998;67,1;5;;1250
223;Mahindra Verito 1.5 D4 BSIV;Hyderabad;2013;107000;Diesel;Manual;First;21,03;1461;65;5;9,12;3700
224;Mercedes-Benz New C-Class C 220d Avantgarde Edition C;Coimbatore;2018;29161;Diesel;Automatic;First;19,27;2143;167,62;5;;39410
225;Maruti Wagon R VXI;Kolkata;2013;32000;Petrol;Manual;First;22,5;998;67,04;5;5,29;2650
226;Nissan Terrano XV Premium 110 PS Anniversary Edition;Coimbatore;2015;46173;Diesel;Manual;Second;19,01;1461;108,5;5;;8920
227;Maruti Swift VDI BSIV;Delhi;2013;47000;Diesel;Manual;First;17,8;1248;null ;5;;4100
228;Mini Cooper Convertible S;Kochi;2017;26327;Petrol;Automatic;First;16,82;1998;189,08;4;44,28;35670
229;Ford Figo Diesel;Bangalore;2015;70436;Diesel;Manual;First;0;1498;99;;;3600
230;Tata Indica V2 DLS BSII;Jaipur;2007;200000;Diesel;Manual;Second;17,2;1396;53,5;5;;850
